Classe correta     Classe Algoritmo

0                             1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
0                             -1
